Item,Color,utterance,Typicality,YMin,YMax
apple,blue,avocado,0.0633333333333333,0.0166666666666667,0.124
apple,blue,banana,0.0573333333333333,0.016,0.09735
apple,blue,fruit,0.562,0.378,0.749366666666667
apple,blue,pepper,0.0466666666666667,0.004,0.105333333333333
apple,green,banana,0.113333333333333,0.0213333333333333,0.258733333333333
apple,green,pear,0.162666666666667,0.0632833333333333,0.266016666666667
apple,green,tomato,0.064,0.0153333333333333,0.119366666666667
apple,green,vegetable,0.160666666666667,0.0673333333333333,0.30735
apple,red,avocado,0.0653333333333333,0.02065,0.119333333333333
apple,red,banana,0.0586666666666667,0.0186666666666667,0.109333333333333
apple,red,fruit,0.913333333333333,0.832,0.979333333333333
apple,red,tomato,0.12,0.0499833333333333,0.20935
avocado,black,apple,0.0826666666666667,0.0266666666666667,0.15335
avocado,black,banana,0.0573333333333333,0.0213166666666667,0.105333333333333
avocado,black,fruit,0.576,0.389283333333333,0.750016666666667
avocado,black,pear,0.0673333333333333,0.0246666666666667,0.112666666666667
avocado,black,vegetable,0.358666666666667,0.197316666666667,0.533366666666667
avocado,green,banana,0.054,0.0186666666666667,0.0966666666666667
avocado,green,carrot,0.054,0.01,0.107333333333333
avocado,green,pear,0.0653333333333333,0.0153333333333333,0.14205
avocado,green,pepper,0.0633333333333333,0.0193166666666667,0.114
avocado,green,tomato,0.0813333333333333,0.01665,0.163333333333333
avocado,green,vegetable,0.466,0.311916666666667,0.649433333333333
avocado,red,apple,0.0913333333333333,0.0339833333333333,0.162016666666667
avocado,red,banana,0.0746666666666667,0.0233166666666667,0.128666666666667
avocado,red,pear,0.0966666666666667,0.0286666666666667,0.18935
avocado,red,pepper,0.0773333333333333,0.00998333333333333,0.162683333333333
banana,blue,apple,0.072,0.01865,0.148016666666667
banana,blue,carrot,0.052,0.0153166666666667,0.09135
banana,blue,fruit,0.58,0.403983333333333,0.742016666666667
banana,blue,tomato,0.0653333333333333,0.0126666666666667,0.13135
banana,brown,apple,0.0546666666666667,0.0173333333333333,0.100666666666667
banana,brown,pepper,0.086,0.0246333333333333,0.166016666666667
banana,brown,tomato,0.05,0.00733333333333333,0.104016666666667
banana,brown,vegetable,0.122666666666667,0.0406666666666667,0.2287
banana,yellow,apple,0.06,0.0206666666666667,0.106683333333333
banana,yellow,pear,0.092,0.0253166666666667,0.17535
banana,yellow,pepper,0.0586666666666667,0.01065,0.11735
carrot,brown,apple,0.0586666666666667,0.014,0.108666666666667
carrot,brown,avocado,0.0526666666666667,0.0073,0.108733333333333
carrot,brown,banana,0.076,0.0133333333333333,0.163333333333333
carrot,brown,carrot,0.565333333333333,0.379983333333333,0.73535
carrot,brown,fruit,0.092,0.026,0.17535
carrot,brown,pear,0.052,0.00465,0.116716666666667
carrot,brown,pepper,0.086,0.0279833333333333,0.147366666666667
carrot,brown,tomato,0.0413333333333333,0.0106666666666667,0.08
carrot,brown,vegetable,0.623333333333333,0.456566666666667,0.788016666666667
carrot,orange,pear,0.0426666666666667,0.008,0.09
carrot,orange,pepper,0.0513333333333333,0.01,0.104
carrot,orange,vegetable,0.906,0.801316666666667,0.980683333333333
carrot,pink,apple,0.0573333333333333,0.0113166666666667,0.111366666666667
carrot,pink,pepper,0.0573333333333333,0.0193333333333333,0.100666666666667
carrot,pink,tomato,0.0513333333333333,0.0173333333333333,0.0960166666666667
pear,green,apple,0.17,0.0533166666666667,0.32535
pear,green,avocado,0.082,0.0293166666666667,0.14135
pear,green,fruit,0.932666666666667,0.876,0.979333333333333
pear,orange,apple,0.0993333333333333,0.034,0.176683333333333
pear,orange,avocado,0.0813333333333333,0.01865,0.166666666666667
pear,orange,pepper,0.08,0.012,0.151366666666667
pear,orange,vegetable,0.168666666666667,0.0726666666666667,0.287333333333333
pear,yellow,apple,0.186,0.07,0.334683333333333
pear,yellow,banana,0.0986666666666667,0.03265,0.173333333333333
pear,yellow,vegetable,0.169333333333333,0.0726666666666667,0.325366666666667
pepper,black,apple,0.058,0.02065,0.100683333333333
pepper,black,avocado,0.046,0.00466666666666667,0.0926833333333333
pepper,black,banana,0.0693333333333333,0.0266666666666667,0.120666666666667
pepper,black,carrot,0.0653333333333333,0.0173333333333333,0.125333333333333
pepper,black,fruit,0.182,0.0666666666666667,0.34145
pepper,black,pear,0.06,0.0206666666666667,0.104683333333333
pepper,black,pepper,0.636666666666667,0.4886,0.778016666666667
pepper,black,tomato,0.0893333333333333,0.00931666666666667,0.191333333333333
pepper,black,vegetable,0.531333333333333,0.346666666666667,0.7067
pepper,orange,apple,0.0673333333333333,0.02065,0.122683333333333
pepper,orange,avocado,0.0653333333333333,0.0193333333333333,0.118666666666667
pepper,orange,carrot,0.113333333333333,0.02865,0.24215
pepper,orange,fruit,0.218666666666667,0.08465,0.384033333333333
pepper,orange,vegetable,0.766666666666667,0.638583333333333,0.87545
pepper,red,carrot,0.0526666666666667,0.01865,0.09535
pepper,red,pear,0.121333333333333,0.028,0.261333333333333
pepper,red,vegetable,0.834666666666667,0.6873,0.940033333333333
tomato,green,apple,0.141333333333333,0.0493166666666667,0.265366666666667
tomato,green,banana,0.0986666666666667,0.018,0.202666666666667
tomato,green,pear,0.0673333333333333,0.0173166666666667,0.128683333333333
tomato,pink,avocado,0.0653333333333333,0.0193333333333333,0.116733333333333
tomato,pink,banana,0.0566666666666667,0.0173333333333333,0.10335
tomato,pink,carrot,0.07,0.0173166666666667,0.138
tomato,pink,pepper,0.094,0.0346666666666667,0.178666666666667
tomato,red,fruit,0.46,0.266666666666667,0.653383333333333
tomato,red,pear,0.056,0.0213166666666667,0.105333333333333
tomato,red,vegetable,0.810666666666667,0.705333333333333,0.900716666666667
